DatePlayed,KickOffTime,HomeTeamId,AwayTeamId
20240922,1300,116013,116016
20240922,1300,116343,116020
20240922,1330,116012,116014
20240922,1500,116010,116015
20240922,1600,116009,116017
20240922,2030,116011,131725
20240927,1830,131725,116010
20240928,1300,116020,116009
20240928,1500,116014,116343
20240929,1300,116016,116012
20240929,1400,116015,116011
20240929,1700,116017,116013
20241004,1945,116017,116014
20241005,1300,116020,131725
20241005,1600,116011,116343
20241006,1300,116013,116015
20241006,1400,116009,116016
20241006,1500,116010,116012
20241011,1945,116016,116014
20241012,1300,116009,116010
20241012,1400,116015,116020
20241013,1330,116012,116011
20241013,1500,116343,116017
20241013,1600,131725,116013
20241019,1300,116343,131725
20241019,1400,116010,116011
20241019,1700,116014,116009
20241019,2030,116020,116016
20241020,1330,116017,116015
20241020,1330,116013,116012
20241102,1330,116015,116343
20241102,1400,116012,116009
20241102,1600,116011,116014
20241103,1300,131725,116017
20241103,1400,116016,116010
20241103,1945,116013,116020
20241109,1500,116009,116013
20241109,1600,116017,116011
20241109,1700,116343,116010
20241110,1300,116012,116015
20241110,1400,116014,116020
20241110,1600,131725,116016
20241115,2030,116016,116343
20241116,1400,116011,116009
20241116,1600,116020,116012
20241117,1300,116015,131725
20241117,1400,116013,116014
20241117,1945,116010,116017
20241206,1945,116010,116013
20241207,1300,116012,116343
20241207,1400,116017,116020
20241208,1400,116011,116016
20241208,1600,116014,131725
20241208,1800,116009,116015
20241214,1300,116013,116011
20241214,1400,131725,116012
20241214,1600,116015,116014
20241215,1300,116020,116010
20241215,1700,116343,116009
20241215,1800,116016,116017
20250117,2030,116017,116012
20250118,1330,116016,116015
20250118,1600,116343,116013
20250119,1300,116011,116020
20250119,1400,116009,131725
20250119,1600,116014,116010
20250124,1800,131725,116011
20250125,1330,116020,116343
20250125,1700,116010,116009
20250126,1300,116012,116013
20250126,1400,116015,116017
20250126,1600,116014,116016
20250201,1300,116016,116020
20250201,1400,116343,116014
20250201,1700,116015,116010
20250202,1300,116011,116012
20250202,1400,116013,131725
20250202,1600,116017,116009
20250214,1945,116020,116015
20250215,1500,116014,116013
20250215,1700,116017,116343
20250216,1330,116012,131725
20250216,1700,116010,116016
20250216,1945,116009,116011
20250301,1300,116009,116014
20250301,1400,116011,116017
20250301,1700,116015,116016
20250302,1300,116013,116010
20250302,1400,131725,116343
20250302,1600,116012,116020
20250314,1945,116011,116013
20250315,1600,116016,116009
20250315,1800,116343,116012
20250316,1330,116014,116017
20250316,1600,116010,116020
20250316,1700,131725,116015
20250322,1330,116014,116011
20250322,1500,116016,131725
20250322,1945,116017,116010
20250323,1330,116020,116013
20250323,1600,116015,116012
20250323,1700,116009,116343
20250329,1330,116013,116017
20250329,1400,116010,116014
20250329,1800,116012,116016
20250330,1400,116343,116015
20250330,1500,131725,116009
20250330,1700,116020,116011
20250416,1800,116009,116020
20250416,1830,116010,131725
20250416,1945,116017,116016
20250418,1945,116011,116015
20250419,1300,116014,116012
20250420,1600,116013,116343
20250423,1800,116015,116009
20250423,1800,116020,116017
20250423,1945,116012,116010
20250426,1330,116016,116013
20250427,1300,131725,116014
20250427,1600,116343,116011
20250503,1300,131725,116020
20250503,1400,116013,116009
20250504,1500,116014,116015
20250504,1500,116011,116010
20250504,1600,116012,116017
20250504,1600,116343,116016
20250511,1600,116020,116014
20250511,1600,116017,131725
20250511,1600,116010,116343
20250511,1600,116009,116012
20250511,1600,116016,116011
20250511,1600,116015,116013
