Date,Local Time,Home Team id,Away Team id
20211030,605,111400,112427
20211030,810,111396,111398
20211030,1010,111395,112224
20211031,610,111397,111393
20211031,805,114023,114604
20211031,1010,111766,111399
20211105,905,111393,112427
20211106,605,111395,111400
20211106,805,111396,114023
20211106,1010,114604,111766
20211107,605,111397,112224
20211107,810,111398,111399
20211119,1005,111393,111400
20211120,415,111398,111395
20211120,635,112224,111396
20211120,910,111399,114604
20211121,605,114023,111397
20211121,810,112427,111766
20211126,910,111399,111393
20211127,500,112427,111395
20211127,705,111766,114023
20211127,915,111400,111397
20211128,600,112224,111398
20211128,810,114604,111396
20211203,905,112224,114604
20211204,500,111393,114023
20211204,715,111397,111398
20211205,400,111395,111399
20211205,605,111396,112427
20211205,815,111400,111766
20211210,910,111398,111393
20211211,435,111395,114604
20211211,800,112224,111399
20211212,605,111766,111400
20211212,810,111396,111397
20211212,1005,114023,112427
20211217,910,111400,111396
20211218,600,111397,111399
20211218,835,111398,112427
20211219,405,111766,111395
20211219,615,111393,114604
20211219,835,114023,112224
20211226,400,111399,111400
20211226,610,111397,111395
20211226,815,111398,114023
20211227,415,111396,111393
20211227,630,114604,112427
20211227,835,112224,111766
20211231,1005,111393,111395
20220101,605,112427,111397
20220101,810,114023,111399
20220101,1010,111766,111396
20220102,600,114604,111398
20220102,805,112224,111400
20220107,905,114604,111393
20220108,605,111399,111396
20220108,805,111398,111766
20220108,1010,111395,111397
20220109,610,111400,112224
20220109,835,112427,114023
20220114,910,111396,111766
20220115,500,112224,112427
20220115,705,114023,111400
20220115,915,111398,114604
20220116,605,111399,111397
20220116,815,111395,111393
20220121,1005,112427,111399
20220122,500,111397,114604
20220122,705,111396,111400
20220122,915,111395,114023
20220123,430,111766,111398
20220123,635,111393,112224
20220204,805,111766,111393
20220205,605,111400,114023
20220205,810,114604,112224
20220205,1010,111396,111395
20220206,605,111398,111397
20220206,810,111399,112427
20220211,910,111395,111396
20220212,500,114604,111397
20220212,715,111398,111400
20220213,405,111393,111766
20220213,615,111399,114023
20220213,835,112427,112224
20220218,905,112427,111393
20220219,500,111400,111395
20220219,705,114023,111396
20220219,915,111766,114604
20220220,605,112224,111397
20220220,810,111399,111398
20220222,600,111393,111399
20220222,805,111395,112427
20220222,1010,114023,111766
20220223,600,111397,111400
20220223,805,111398,112224
20220223,1010,111396,114604
20220225,910,111400,111393
20220226,400,111395,111398
20220226,715,111396,112224
20220227,335,114604,111399
20220227,515,111397,114023
20220227,800,111766,112427
20220304,1005,112427,111400
20220305,605,111398,111396
20220305,810,112224,111395
20220305,1010,111393,111397
20220306,605,114604,114023
20220306,810,111399,111766
20220311,910,111400,114604
20220312,605,112224,111393
20220312,805,111395,111766
20220312,1010,111396,111399
20220313,515,114023,111398
20220313,730,111397,112427
20220318,910,114023,111395
20220319,605,111399,112224
20220319,810,112427,114604
20220319,1010,111397,111766
20220320,600,111400,111398
20220320,815,111393,111396
20220401,905,111393,111398
20220402,600,114604,111395
20220402,805,112224,114023
20220402,1010,111400,111399
20220403,605,111766,111397
20220403,810,112427,111396
20220408,1005,111399,111395
20220409,500,114604,111400
20220409,715,112427,111398
20220410,300,114023,111393
20220410,500,111397,111396
20220410,715,111766,112224
20220415,905,111400,112427
20220416,500,111396,111398
20220416,705,111395,112224
20220416,915,111397,111393
20220417,505,114023,114604
20220417,710,111766,111399
20220422,805,111393,112427
20220423,605,111395,111400
20220423,810,111396,114023
20220423,1010,114604,111766
20220424,605,111397,112224
20220424,815,111398,111399
20220429,905,111393,111400
20220430,500,111398,111395
20220430,705,112224,111396
20220430,915,111399,114604
20220501,500,114023,111397
20220501,805,112427,111766
20220506,905,111399,111393
20220507,605,112427,111395
20220507,800,111766,114023
20220507,1035,111400,111397
20220508,605,112224,111398
20220508,810,114604,111396
