DatePlayed,KickOffTime,HomeTeamId,AwayTeamId
20240815,1800,448,1860
20240815,2030,449,110062
20240816,1800,450,463
20240816,2030,472,481
20240817,1800,479,100888
20240817,2030,461,241
20240818,1800,457,480
20240818,2030,453,243
20240819,1800,462,452
20240819,2030,483,240
20240823,1800,450,461
20240823,2030,481,483
20240824,1600,479,453
20240824,1800,241,448
20240824,2030,452,457
20240824,2030,1860,480
20240825,1600,243,462
20240825,1800,100888,472
20240825,1800,463,449
20240825,2030,240,110062
20240826,2030,483,450
20240827,1800,453,481
20240827,2030,480,241
20240828,1800,462,100888
20240828,1800,448,461
20240828,2000,449,1860
20240828,2030,457,463
20240828,2030,240,452
20240829,1800,110062,479
20240829,2030,472,243
20240831,1600,241,462
20240831,1800,448,240
20240831,1800,452,480
20240831,2030,100888,453
20240831,2030,461,483
20240901,1600,479,450
20240901,1600,463,472
20240901,1800,1860,457
20240901,1800,481,110062
20240901,2030,243,449
20240915,2000,449,100888
20240915,2000,453,483
20240915,2000,481,1860
20240915,2000,457,243
20240915,2000,452,463
20240915,2100,472,448
20240915,2000,240,461
20240915,2000,110062,241
20240915,2000,480,479
20240915,2000,450,462
20240920,1800,448,450
20240920,2030,449,453
20240921,1600,1860,100888
20240921,1800,463,481
20240921,2030,480,240
20240921,2030,483,241
20240922,1600,461,110062
20240922,1800,462,457
20240922,2030,243,452
20240922,2030,479,472
20240924,1800,453,457
20240924,1800,100888,448
20240925,1900,472,449
20240925,1800,241,1860
20240925,1800,243,463
20240925,1800,450,240
20240925,2030,110062,480
20240925,2030,461,479
20240925,2030,481,462
20240925,2030,452,483
20240927,1800,448,481
20240927,2030,240,243
20240928,1600,450,110062
20240928,1800,457,461
20240928,2030,462,453
20240928,2030,479,241
20240929,1600,483,472
20240929,1800,1860,463
20240929,2030,449,452
20240929,2030,480,100888
20241004,1800,1860,479
20241005,1600,100888,461
20241005,1800,452,453
20241005,2130,472,450
20241005,2030,462,480
20241006,1600,110062,448
20241006,1800,463,241
20241006,2030,457,240
20241006,2030,481,449
20241006,2030,243,483
20241018,1800,241,481
20241018,2030,450,243
20241019,1600,240,100888
20241019,1800,448,452
20241019,2030,479,449
20241019,2030,110062,457
20241020,1600,453,480
20241020,1800,463,462
20241020,2030,461,472
20241020,2030,483,1860
20241025,1800,1860,461
20241025,2030,452,481
20241026,1600,453,448
20241026,1800,449,240
20241026,2030,243,241
20241026,2030,100888,450
20241027,1700,472,110062
20241027,1800,457,479
20241027,2030,462,483
20241027,2030,480,463
20241101,1800,461,243
20241101,2030,240,472
20241102,1600,241,452
20241102,1800,110062,100888
20241102,2030,448,449
20241102,2030,481,457
20241103,1600,483,480
20241103,1800,450,1860
20241103,2030,479,462
20241103,2030,463,453
20241108,1800,100888,481
20241108,2030,452,461
20241109,1630,243,479
20241109,1800,480,472
20241109,2030,483,463
20241109,2030,1860,110062
20241110,1600,453,240
20241110,1800,457,241
20241110,2030,462,448
20241110,2030,449,450
20241122,1800,100888,243
20241122,2030,450,241
20241123,1600,110062,452
20241123,1800,240,463
20241123,2030,448,457
20241123,2030,1860,462
20241124,1600,479,483
20241124,1900,472,453
20241124,2030,481,480
20241124,2030,461,449
20241129,1800,241,472
20241129,2030,453,461
20241130,1600,463,100888
20241130,1800,452,450
20241130,2030,462,240
20241130,2030,480,448
20241201,1600,457,449
20241201,1800,243,1860
20241201,2030,481,479
20241201,2030,483,110062
20241206,1800,449,241
20241206,2030,110062,243
20241207,1600,240,481
20241207,1800,448,483
20241207,2030,1860,452
20241207,2030,479,463
20241208,1600,461,480
20241208,1800,100888,457
20241208,2130,472,462
20241208,2030,450,453
20241213,1800,452,479
20241213,2030,481,450
20241214,1600,240,1860
20241214,1800,462,461
20241214,2030,241,100888
20241214,2030,480,243
20241215,1600,453,110062
20241215,1800,457,472
20241215,2030,463,448
20241215,2030,483,449
20241220,1800,450,457
20241220,2030,1860,453
20241221,1600,110062,462
20241221,1800,243,481
20241221,2030,479,448
20241221,2030,100888,483
20241222,1600,461,463
20241222,1900,472,452
20241222,2030,241,240
20241222,2030,449,480
20250110,1800,448,243
20250110,2030,240,479
20250111,1600,457,483
20250111,1800,481,461
20250111,2030,463,110062
20250111,2030,452,100888
20250112,1600,453,241
20250112,1800,462,449
20250112,2130,472,1860
20250112,2030,480,450
20250117,1800,243,472
20250117,2030,100888,240
20250118,1600,450,448
20250118,1800,110062,481
20250118,2030,1860,241
20250118,2030,461,457
20250119,1600,483,453
20250119,1800,452,462
20250119,2030,449,463
20250119,2030,479,480
20250124,1800,463,450
20250124,2130,472,479
20250125,1600,480,110062
20250125,1800,462,243
20250125,2030,241,461
20250125,2030,240,483
20250126,1600,481,452
20250126,1800,453,449
20250126,2030,457,1860
20250126,2030,448,100888
20250131,1800,110062,472
20250131,2030,483,462
20250201,1600,1860,481
20250201,1800,461,450
20250201,2030,449,448
20250201,2030,100888,480
20250202,1600,479,457
20250202,1800,240,453
20250202,2030,241,463
20250202,2030,452,243
20250207,1800,448,110062
20250207,2030,243,240
20250208,1600,481,241
20250208,1800,457,452
20250208,2030,463,1860
20250208,2130,472,483
20250209,1600,480,462
20250209,1800,453,479
20250209,2030,461,100888
20250209,2030,450,449
20250214,1800,453,472
20250214,2030,100888,463
20250215,1600,241,480
20250215,1800,240,450
20250215,2030,479,243
20250215,2030,110062,1860
20250216,1600,483,461
20250216,1800,462,481
20250216,2030,449,457
20250216,2030,452,448
20250221,1800,481,453
20250222,1600,450,479
20250222,1800,480,483
20250222,2030,448,462
20250222,2030,463,452
20250223,1600,461,240
20250223,1800,1860,449
20250223,2130,472,241
20250223,2030,457,100888
20250223,2030,243,110062
20250228,1800,241,457
20250228,2030,449,243
20250301,1600,240,448
20250301,1800,110062,450
20250301,2030,483,452
20250301,2030,453,463
20250302,1600,462,472
20250302,1800,100888,1860
20250302,2030,479,461
20250302,2030,480,481
20250307,1800,243,480
20250307,2030,241,479
20250308,1600,449,472
20250308,1800,448,453
20250308,2030,1860,240
20250308,2030,452,110062
20250309,1600,450,100888
20250309,1800,463,483
20250309,2030,457,481
20250309,2030,461,462
20250314,1800,479,1860
20250314,2030,480,457
20250315,1600,462,450
20250315,1800,453,452
20250315,2130,472,463
20250315,2030,483,243
20250316,1600,100888,449
20250316,1800,481,448
20250316,2030,240,241
20250316,2030,110062,461
20250328,1800,448,479
20250328,2030,241,110062
20250329,1600,449,481
20250329,1800,450,472
20250329,2030,457,462
20250329,2030,1860,483
20250330,1600,463,480
20250330,1800,452,240
20250330,2030,461,453
20250330,2030,243,100888
20250404,1800,241,449
20250404,2030,243,461
20250405,1600,483,448
20250405,1800,481,240
20250405,2030,110062,463
20250405,2030,480,452
20250406,1600,462,1860
20250406,1800,453,450
20250406,2130,472,457
20250406,2030,100888,479
20250411,1800,1860,472
20250411,2030,461,481
20250412,1600,240,462
20250412,1800,463,243
20250412,2030,100888,241
20250412,2030,479,110062
20250413,1600,448,480
20250413,1800,449,483
20250413,2030,457,453
20250413,2030,450,452
20250418,1800,452,1860
20250418,2030,480,461
20250419,1600,462,479
20250419,1800,483,457
20250419,2030,481,463
20250419,2030,453,100888
20250420,1600,243,448
20250420,1800,110062,449
20250420,2130,472,240
20250420,2030,241,450
20250423,1600,100888,110062
20250423,1800,461,452
20250423,2030,463,457
20250423,2030,450,483
20250424,1600,448,472
20250424,1800,240,480
20250424,2030,241,453
20250424,2030,1860,243
20250425,1800,449,462
20250425,2030,479,481
20250502,1900,472,461
20250502,2030,481,100888
20250503,1600,463,240
20250503,1800,462,241
20250503,2030,243,450
20250503,2030,110062,453
20250504,1600,480,1860
20250504,2030,483,479
20250504,2030,457,448
20250504,2030,452,449
20250509,1800,450,481
20250509,2030,449,479
20250510,1600,100888,452
20250510,1800,461,1860
20250510,2030,453,462
20250510,2130,472,480
20250511,1600,110062,483
20250511,1800,241,243
20250511,2030,240,457
20250511,2030,448,463
20250513,1600,483,100888
20250513,1800,457,450
20250513,2030,462,110062
20250513,2030,1860,448
20250514,1600,243,453
20250514,1800,480,449
20250514,2030,479,240
20250514,2030,452,241
20250515,1800,481,472
20250515,2030,463,461
20250516,1800,461,448
20250516,2030,457,110062
20250517,1600,479,452
20250517,1800,240,449
20250517,2030,241,483
20250517,2030,481,243
20250518,1600,453,1860
20250518,1800,450,480
20250518,2030,462,463
20250518,2130,472,100888
20250524,1600,448,241
20250524,1600,243,457
20250524,1600,449,461
20250524,1600,110062,240
20250525,1600,483,481
20250525,1600,480,453
20250525,1600,463,479
20250525,1600,452,472
20250525,1600,1860,450
20250525,1600,100888,462
