Date,Time,HomeTeamId,AwayTeamId
20240221,0100,112893,111065
20240224,2130,112996,111144
20240224,1900,687,112885
20240224,0030,688,691
20240224,0130,698,696
20240224,0130,695,111928
20240224,0330,111140,694
20240224,0030,112134,693
20240224,0030,112606,111139
20240224,0130,113018,111065
20240224,0130,114161,111138
20240224,0130,114640,112828
20240225,1930,113149,111651
20240225,2200,114162,689
20240225,0130,697,112893
20240302,0800,101112,114640
20240302,1900,111065,112996
20240302,1900,111138,687
20240302,2130,112893,112606
20240302,0330,111928,697
20240302,0130,113018,112828
20240302,0330,111140,688
20240302,0330,111144,114161
20240302,0130,695,111139
20240302,0230,694,114162
20240302,0130,693,113149
20240302,0130,696,112134
20240302,0130,698,689
20240303,1900,691,111651
20240309,1900,111651,114640
20240309,1900,112828,111140
20240309,0030,112885,691
20240309,0330,112996,696
20240309,0330,111928,101112
20240309,0030,112606,111138
20240309,0030,112134,111144
20240309,0130,114161,113018
20240309,0230,111065,694
20240309,0030,689,695
20240309,0030,687,693
20240310,2100,114162,697
20240310,2100,113149,688
20240310,2300,112893,111139
20240316,2030,111144,694
20240316,1900,693,111139
20240316,1900,688,112893
20240316,0030,687,689
20240316,0130,698,111140
20240316,0130,696,111928
20240316,0330,697,113018
20240316,0130,111138,112996
20240316,0130,695,101112
20240316,0030,112828,111651
20240316,0130,114162,114640
20240316,0130,114161,112134
20240317,1900,691,113149
20240317,0000,112885,112606
20240323,0800,101112,111065
20240323,1900,689,112893
20240323,1900,691,693
20240323,0230,694,698
20240323,0330,111140,112134
20240323,0130,696,697
20240323,0330,112996,114162
20240323,0030,112606,114161
20240323,0330,111928,111144
20240323,0030,111651,112885
20240323,0030,113149,112828
20240323,0130,113018,688
20240323,0130,114640,687
20240330,0800,101112,111140
20240330,2100,694,112996
20240330,1900,112134,111138
20240330,0030,112606,689
20240330,0030,111651,696
20240330,0030,112893,112828
20240330,0130,114640,113149
20240330,0130,114161,695
20240330,0130,114162,687
20240330,0230,111065,113018
20240330,0030,688,111139
20240330,0330,697,111144
20240330,0130,698,111928
20240331,2030,112885,693
20240406,0800,101112,111651
20240406,0030,112996,697
20240406,0030,112893,694
20240406,0030,112828,112885
20240406,0130,114162,112134
20240406,0130,114161,111928
20240406,0130,113018,695
20240406,0030,113149,689
20240406,0130,693,698
20240406,0030,687,688
20240406,0030,691,114640
20240406,0330,111144,111139
20240406,0130,111138,111065
20240407,1830,696,111140
20240413,0800,101112,697
20240413,2130,111140,112996
20240413,0130,111138,698
20240413,0030,111139,113149
20240413,0230,111065,687
20240413,0130,695,111144
20240413,0030,688,112606
20240413,0130,696,112893
20240413,0030,689,693
20240413,0130,114640,111651
20240413,0030,112828,691
20240413,0330,111928,694
20240414,1930,112885,112134
