1,0,1369
1,1,1335
1,2,1318
1,3,1354
1,4,1362
1,5,-1
1,6,-1
1,7,-1
54,0,1343
54,1,1318
75,0,-1
75,1,-1
75,2,-1
75,3,-1
75,4,-1
75,5,-1
75,6,-1
75,7,-1
75,8,-1
75,9,-1
75,10,-1
75,11,-1
75,12,-1
75,13,-1
75,14,-1
75,15,-1
91,0,243
174,0,115845
174,1,32
237,0,2
237,1,110374
295,0,116325
320,0,191
320,1,252
338,0,191
338,1,209
338,2,256
338,3,111822
338,4,254
338,5,1787
344,0,256
351,0,674
351,1,229
373,0,2014
373,1,231
373,2,229
373,3,230
379,0,674
384,0,270
384,1,271
402,0,819
402,1,1788
402,2,271
402,3,1443
402,4,269
402,5,1786
408,0,819
416,0,11
416,1,10
532,0,9
718,0,10
718,1,1
718,2,9
718,3,2
718,4,17
718,5,18
718,6,5
718,7,13
718,8,11
754,0,116010
754,1,116009
754,2,116017
761,0,73
761,1,66
816,0,73
816,1,69
816,2,378
816,3,65
816,4,72
816,5,66
816,6,64
816,7,219
816,8,379
816,9,74
816,10,1809
837,0,32
837,1,29
903,0,32
903,1,36
903,2,21
903,3,112172
903,4,22
903,5,1824
903,6,10029
903,7,111235
903,8,38
922,0,115998
922,1,115997
922,2,115995
926,0,423
926,1,305
942,0,306
942,1,837
942,2,445
942,3,423
942,4,563
942,5,305
942,6,834
954,0,45
954,1,115845
1008,0,131682
1008,1,131681
1008,2,45
1008,3,115845
1008,4,189
1008,5,110556
1008,6,115841
1008,7,110374
1008,8,54
1026,0,246
1026,1,1910
1051,0,247
1051,1,246
1051,2,1908
1051,3,1906
1051,4,245
1051,5,1910
1051,6,1903
1051,7,100646
1051,8,100632
1051,9,634
1055,0,417
1055,1,918
1077,0,918
1077,1,417
1077,2,300
1077,3,299
1077,4,298
1081,0,114326
1081,1,873
1109,0,114326
1109,1,1871
1109,2,114393
1109,3,873
1109,4,110746
1113,0,1896
1113,1,234
1138,0,237
1138,1,234
1138,2,236
1138,3,1896
1138,4,1887
1138,5,1900
1138,6,112513
1138,7,112809
1138,8,114510
1138,9,489
1142,0,113378
1142,1,110751
1166,0,100761
1166,1,310
1166,2,114385
1166,3,308
1166,4,110075
1172,0,100761
1179,0,86
1179,1,80
1207,0,78
1207,1,86
1207,2,77
1207,3,80
1207,4,81
1207,5,100805
1222,0,448
1222,1,457
1322,0,243
1322,1,241
1322,2,110062
1322,3,240
1322,4,448
1322,5,457
1322,6,449
1322,7,483
1322,8,461
1322,9,463
1336,0,116325
1336,1,116326
1336,2,116328
1340,0,320
1340,1,708
1358,0,320
1358,1,433
1358,2,710
1358,3,700
1358,4,708
1358,5,1439
1362,0,10032
1362,1,898
1380,0,894
1380,1,896
1380,2,900
1380,3,10032
1380,4,898
1468,0,116302
1486,0,605
1508,0,111396
1508,1,111766
1508,2,111397
1524,0,111724
1524,1,112540
1524,2,111769
1524,3,111768
1528,0,114168
1528,1,113301
1528,2,113146
1537,0,1477
1537,1,1473
1537,2,2056
1537,3,1478
1544,0,605
1544,1,112139
1544,2,112387
1544,3,112393
1544,4,607
1544,5,112096
1544,6,112390
1544,7,111674
1555,0,567
1614,0,110986
1677,0,1876
1677,1,111710
1693,0,1876
1693,1,111710
1693,2,112670
1693,3,1877
1693,4,101088
1693,5,110404
1693,6,111711
1693,7,110093
1693,8,110395
1693,9,101084
1693,10,111716
1693,11,111022
1693,12,111019
1693,13,101085
1708,0,113009
